id, followers_count, following_count, tweet_count
83822155,775,3667,36299
83915798,313,211,77027
83976150,183,161,45391
84131301,356,513,8425
84162068,671,905,20466
84182215,11245,2408,13017
84218779,45,545,1490
84227196,80,190,2084
84488836,761,1364,87059
84491423,538,1371,13401
84638729,3771,3755,189180
84895207,2363,2289,27552
85196742,57,239,614
85377256,235,651,16058
85442559,2525,1132,26277
85461937,1164,944,38676
85651772,2260,915,29979
85692592,1203345,1096,44813
85710837,68,94,2588
85755085,2946,3442,41766
85865231,387,97,16878
85962682,345,1088,1898
86183969,10740,417,65080
86219321,407463,153,305738
86284895,2715,2590,60989
86465834,268,674,8023
86549427,2276,2127,162462
86574872,90350,2399,131734
86635649,1498,1525,169374
86842799,2890,569,5881
86871403,3608,1085,23750
86941581,231,526,1504
86986582,186,596,15983
86990502,142439,354,11079
87055027,269,644,14093
87226057,1987,1572,135945
87241790,4114,4739,102519
87480709,1933,1686,13309
87495000,249,230,750
87514691,2327,1170,139845
87516010,1858,1710,296305
87575167,1147,923,28704
87581400,118,170,5518
87593206,10092,1973,88024
87680979,20,2116,529
87738224,453,384,4023
87832988,604,5001,198227
87932521,87,1257,5877
87972905,2046,368,17904
88012615,2135,3652,308185
88095570,229,927,23680
88240610,81,216,464
88240679,2754,2754,50848
88271751,222,219,6835
88309105,2347,2387,75941
88506377,711,294,22001
88558058,382,678,31209
88568710,221,553,4710
88654629,4394,3305,134794
88694936,1754,2603,72618
88738686,463,596,55564
88863556,7246,1162,53423
88962884,300,374,53239
89035998,510,184,53270
89115541,4798,5276,25417
89216139,271,1123,2770
89473323,564,207,897
89482268,80,200,10887
89511563,790,940,32673
89574037,349,883,54748
89584982,166,615,2616
89589815,245,486,7076
89652695,213,562,6502
89703475,165,1151,3586
89733784,268,1891,10075
89996483,15931,1817,48335
90044933,1865,961,52294
90050663,707,1187,15130
90183598,3292,5005,178638
90185866,42112,299,131549
90245720,3345,4829,24558
90295434,368,347,17515
90469110,59398,4792,74452
90511813,363,1177,41323
90520524,49,245,1382
90644942,5014,1747,56990
90663775,6912,566,16257
90677444,119,216,13417
90692518,540,327,25118
90702695,486,739,31794
90757102,372,1742,1426
90768151,223,533,2036
90876418,7977,1739,119032
90996799,331,657,18659
90997529,734,777,28587
91125111,56,310,4159
91142468,45,464,2342
91169165,1050,4993,18580
91347518,31,1383,75
91358008,1448,5001,16657
